Plot Title: Utsjoki 2020-2021;;;;;;;
#;Date Time, GMT+03:00;Temp, °C (LGR S/N: 10754832, SEN S/N: 10754832);Coupler Detached (LGR S/N: 10754832);Coupler Attached (LGR S/N: 10754832);Host Connected (LGR S/N: 10754832);Stopped (LGR S/N: 10754832);End Of File (LGR S/N: 10754832)
398;10.01.20 klo 03.00.00 ap.;8.494;;;;;
399;10.01.20 klo 04.00.00 ap.;8.494;;;;;
400;10.01.20 klo 05.00.00 ap.;8.494;;;;;
401;10.01.20 klo 06.00.00 ap.;8.519;;;;;
402;10.01.20 klo 07.00.00 ap.;8.519;;;;;
403;10.01.20 klo 08.00.00 ap.;8.494;;;;;
404;10.01.20 klo 09.00.00 ap.;8.469;;;;;
405;10.01.20 klo 10.00.00 ap.;8.519;;;;;
406;10.01.20 klo 11.00.00 ap.;8.568;;;;;
407;10.01.20 klo 12.00.00 ip.;8.593;;;;;
408;10.01.20 klo 01.00.00 ip.;8.643;;;;;
409;10.01.20 klo 02.00.00 ip.;8.693;;;;;
410;10.01.20 klo 03.00.00 ip.;8.717;;;;;
411;10.01.20 klo 04.00.00 ip.;8.693;;;;;
412;10.01.20 klo 05.00.00 ip.;8.693;;;;;
413;10.01.20 klo 06.00.00 ip.;8.643;;;;;
414;10.01.20 klo 07.00.00 ip.;8.568;;;;;
415;10.01.20 klo 08.00.00 ip.;8.543;;;;;
416;10.01.20 klo 09.00.00 ip.;8.543;;;;;
417;10.01.20 klo 10.00.00 ip.;8.543;;;;;
418;10.01.20 klo 11.00.00 ip.;8.543;;;;;
419;10.02.20 klo 12.00.00 ap.;8.543;;;;;
420;10.02.20 klo 01.00.00 ap.;8.543;;;;;
421;10.02.20 klo 02.00.00 ap.;8.519;;;;;
422;10.02.20 klo 03.00.00 ap.;8.494;;;;;
423;10.02.20 klo 04.00.00 ap.;8.469;;;;;
424;10.02.20 klo 05.00.00 ap.;8.444;;;;;
425;10.02.20 klo 06.00.00 ap.;8.419;;;;;
426;10.02.20 klo 07.00.00 ap.;8.394;;;;;
427;10.02.20 klo 08.00.00 ap.;8.394;;;;;
428;10.02.20 klo 09.00.00 ap.;8.369;;;;;
429;10.02.20 klo 10.00.00 ap.;8.369;;;;;
430;10.02.20 klo 11.00.00 ap.;8.369;;;;;
431;10.02.20 klo 12.00.00 ip.;8.394;;;;;
432;10.02.20 klo 01.00.00 ip.;8.419;;;;;
433;10.02.20 klo 02.00.00 ip.;8.444;;;;;
434;10.02.20 klo 03.00.00 ip.;8.444;;;;;
435;10.02.20 klo 04.00.00 ip.;8.419;;;;;
436;10.02.20 klo 05.00.00 ip.;8.394;;;;;
437;10.02.20 klo 06.00.00 ip.;8.344;;;;;
438;10.02.20 klo 07.00.00 ip.;8.319;;;;;
439;10.02.20 klo 08.00.00 ip.;8.295;;;;;
440;10.02.20 klo 09.00.00 ip.;8.295;;;;;
441;10.02.20 klo 10.00.00 ip.;8.270;;;;;
442;10.02.20 klo 11.00.00 ip.;8.270;;;;;
443;10.03.20 klo 12.00.00 ap.;8.270;;;;;
444;10.03.20 klo 01.00.00 ap.;8.245;;;;;
